City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,Namibe,-15.1961,12.1522,74.03,68,40,8.05,AO,2021-09-27 12:31:15
156,Deputatskiy,69.3,139.9,21.09,85,99,6.15,RU,2021-09-27 12:31:16
157,Bereznik,62.8551,42.7072,49.75,77,100,4.18,RU,2021-09-27 12:31:18
158,Xiongyue,40.1774,122.1228,66.33,86,100,3.18,CN,2021-09-27 12:31:19
159,Hobyo,5.3505,48.5268,81.39,72,100,29.46,SO,2021-09-27 12:31:19
160,Gat,31.61,34.7642,83.79,20,6,15.55,IL,2021-09-27 12:29:43
161,Puerto Del Rosario,28.5004,-13.8627,78.55,73,40,14.97,ES,2021-09-27 12:31:21
162,Kruisfontein,-34.0033,24.7314,61.79,78,93,26.35,ZA,2021-09-27 12:23:01
163,Dovolnoye,54.4958,79.6671,40.96,69,100,11.27,RU,2021-09-27 12:31:23
164,Pasighat,28.0667,95.3333,82.04,77,10,2.77,IN,2021-09-27 12:21:29
165,Hermanus,-34.4187,19.2345,61.9,75,96,10.42,ZA,2021-09-27 12:21:40
166,Timberlake,37.3207,-79.2575,58.68,87,1,0.0,US,2021-09-27 12:31:24
167,Oranjemund,-28.55,16.4333,59.54,77,100,17.9,NA,2021-09-27 12:31:25
168,Barranca,-10.75,-77.7667,62.1,82,95,3.85,PE,2021-09-27 12:31:27
169,Salalah,17.0151,54.0924,89.69,70,0,11.5,OM,2021-09-27 12:31:29
170,Barrow,71.2906,-156.7887,28.42,86,90,11.5,US,2021-09-27 12:31:30
171,Dudinka,69.4058,86.1778,32.02,68,15,7.61,RU,2021-09-27 12:31:32
172,Nikki,9.9401,3.2108,88.52,56,99,2.66,BJ,2021-09-27 12:31:33
173,Marystown,47.1666,-55.1483,61.86,100,100,5.01,CA,2021-09-27 12:31:35
174,Xingyi,24.1877,102.817,60.24,89,0,2.39,CN,2021-09-27 12:31:36
175,Mana,5.6592,-53.7767,84.79,68,14,7.63,GF,2021-09-27 12:31:36
176,Chifeng,42.2683,118.9636,61.0,49,17,5.59,CN,2021-09-27 12:31:37
177,Esperance,-33.8667,121.9,57.04,81,97,21.16,AU,2021-09-27 12:21:53
178,Xichang,27.8964,102.2634,66.16,83,21,4.56,CN,2021-09-27 12:31:38
179,Mujiayingzi,42.1167,118.7833,59.54,51,22,6.89,CN,2021-09-27 12:31:38
180,Vestmannaeyjar,63.4427,-20.2734,41.99,60,0,24.16,IS,2021-09-27 12:31:38
