City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
432,Odweyne,SO,88.45,9.4092,45.064,
435,Cockburn Town,TC,82.71,21.4612,-71.1419,
436,Sosua,DO,84.24,19.7667,-70.5167,
437,Peniche,PT,77.76,39.3558,-9.3811,
439,Kaseda,JP,76.23,31.4167,130.3167,
441,Agdas,AZ,78.67,40.65,47.4761,
442,Ocos,GT,84.31,14.5094,-92.1933,
443,Laela,TZ,82.04,-8.5667,32.05,
446,Labuan,MY,84.36,5.2767,115.2417,
458,Daru,PG,77.81,-9.0763,143.2092,
460,Takanabe,JP,75.09,32.1333,131.5,
464,Padang,ID,82.45,-0.9492,100.3543,
472,Kibaya,TZ,82.24,-5.3,36.5667,
474,Dawlatabad,AF,75.69,36.4141,64.9053,
475,Biak,ID,76.96,-0.9131,122.8766,
478,Chilmari,BD,89.2,25.5559,89.6715,
481,San Carlos,VE,82.45,9.6612,-68.5827,
483,Thinadhoo,MV,83.39,0.5333,72.9333,
486,Uige,AO,85.66,-7.6087,15.0613,
487,Yulin,CN,81.54,22.6333,110.15,
488,Vanimo,PG,78.26,-2.6741,141.3028,
489,Manawar,IN,78.4,22.2333,75.0833,
490,Jieshi,CN,81.41,22.8134,115.8257,
494,Luau,AO,88.39,-10.7073,22.2247,
495,Sur,OM,87.39,22.5667,59.5289,
499,Wanning,CN,80.6,18.8003,110.3967,
500,Pemangkat,ID,78.1,1.1667,108.9667,
506,Touros,BR,77.9,-5.1989,-35.4608,
507,Maues,BR,81.39,-3.3836,-57.7186,
508,Diego De Almagro,CL,76.06,-26.3667,-70.05,
509,Sao Jose Da Tapera,BR,84.24,-9.5583,-37.3811,
510,Ternate,ID,81.09,0.8,127.4,
511,Bengkulu,ID,78.15,-3.8004,102.2655,
514,Kerema,PG,78.85,-7.9631,145.7785,
517,Bodden Town,KY,84.92,19.2833,-81.25,
518,Puerto Rondon,CO,79.52,6.2805,-71.1,
520,Shankargarh,IN,86.95,25.1833,81.6167,
530,Moundou,TD,87.33,8.5667,16.0833,
537,Saint-Joseph,RE,77.38,-21.3667,55.6167,
541,Maxixe,MZ,84.02,-23.8597,35.3472,
542,Port Moresby,PG,80.02,-9.4431,147.1797,
547,Malanje,AO,80.98,-9.5402,16.341,
548,Puerto Escondido,MX,78.13,15.85,-97.0667,
552,Boende,CD,84.18,-0.2167,20.8667,
553,Casa Nova,BR,80.58,-9.4167,-41.1333,
555,Bambanglipuro,ID,76.64,-7.95,110.2833,
560,Sikar,IN,81.05,27.6167,75.15,
562,Osuna,ES,86.81,37.2377,-5.1075,
567,Zemio,CF,85.23,5.0314,25.1361,
568,Port Keats,AU,78.21,-14.25,129.55,
